"id","name","artists","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","ranking","ranking_5","cluster"
"2ijef6ni2amuunRoKTlgw","Sin Pijama","Becky G",0.791,0.745,-3.695,0.0464,0.354,2.93e-05,0.104,0.82,94.014,188560,"60","(40,60]",1
"2BgEsaKNfHUdlh97KmvFy","2002","Anne-Marie",0.697,0.683,-2.881,0.117,0.0372,0,0.137,0.603,96.133,186987,"61","(60,80]",1
"0TlLq3lA83rQOYtrqBqSc","Nonstop","Drake",0.912,0.412,-8.074,0.124,0.0164,0.013,0.104,0.422,154.983,238614,"62","(60,80]",5
"7AQim7LbvFVZJE3O8TYgf","Fuck Love (feat. Trippie Redd)","XXXTENTACION",0.797,0.533,-9.74,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,"63","(60,80]",5
"2QZ7WLBE8h2y1Y5Fb8RYb","In My Blood","Shawn Mendes",0.622,0.712,-7.321,0.066,0.0573,0,0.13,0.487,140.025,211360,"64","(60,80]",4
"7vGuf3Y35N4wmASOKLUVV","Silence","Marshmello",0.52,0.761,-3.093,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823,"65","(60,80]",4
"5OCJzvD7sykQEKHH7qAC3","God is a woman","Ariana Grande",0.602,0.658,-5.934,0.0558,0.0233,6e-05,0.237,0.268,145.031,197547,"66","(60,80]",4
"1j6xOGusnyXq3l6IryKF3","D?jala que vuelva (feat. Manuel Turizo)","Piso 21",0.681,0.788,-4.323,0.0785,0.0482,0,0.0753,0.839,170.019,220117,"67","(60,80]",1
"66BjcDhhwWCcQIBxHMpKX","Flames","David Guetta",0.631,0.649,-5.892,0.0385,0.0817,3.8e-06,0.0934,0.421,93.95,194680,"68","(60,80]",1
"0WdGQhoAP2LBsqr5Jhit2","What Lovers Do","Maroon 5",0.799,0.597,-5.131,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,199849,"69","(60,80]",1
"4w8niZpiMy6qz1mntFA5u","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",0.841,0.798,-4.206,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,"70","(60,80]",1
"5Gu0PDLN4YJeW75PpBSg9","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",0.663,0.708,-4.154,0.0473,0.0337,0,0.0841,0.742,103.073,174800,"71","(60,80]",1
"6QgjcU0zLnzq5OrUoSZ3O","Feel It Still","Portugal. The Man",0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,"72","(60,80]",1
"77UjLW8j5UAGAGVGhR5oU","Pray For Me (with Kendrick Lamar)","The Weeknd",0.735,0.677,-4.979,0.093,0.0762,2.17e-05,0.111,0.188,100.584,211440,"73","(60,80]",4
"6n4U3TlzUGhdSFbUUhTvL","Walk It Talk It","Migos",0.909,0.628,-5.456,0.201,0.0739,0,0.108,0.406,145.905,276147,"74","(60,80]",4
"5k38wzpLb15YgncyWdTZE","Him & I (with Halsey)","G-Eazy",0.589,0.731,-6.343,0.0868,0.0534,0,0.308,0.191,87.908,268867,"75","(60,80]",2
"32lItqlMi4LBhb4k0BaSa","Candy Paint","Post Malone",0.67,0.654,-5.944,0.153,0.627,1.02e-06,0.071,0.438,180.024,227533,"76","(60,80]",4
"3a1lNhkSLSkpJE4MSHpDu","Congratulations","Post Malone",0.63,0.804,-4.183,0.0363,0.215,0,0.253,0.492,123.146,220293,"77","(60,80]",1
"4QtiVmuA88tPQiCOHZuQ5","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",0.792,0.895,-3.112,0.0589,0.165,0,0.0501,0.794,94.968,201526,"78","(60,80]",1
"6Za3190Sbw39BBC77WSS1","Criminal","Natti Natasha",0.814,0.813,-3.023,0.0561,0.03,9.33e-05,0.255,0.839,79.997,232550,"79","(60,80]",1
"1ZAyjvIk9YiD76yYy0TEG","Plug Walk","Rich The Kid",0.876,0.519,-6.531,0.143,0.202,0,0.108,0.158,94.981,175230,"80","(60,80]",5
"0u2P5u6lvoDfwTYjAADbn","lovely (with Khalid)","Billie Eilish",0.351,0.296,-10.109,0.0333,0.934,0,0.095,0.12,115.284,200186,"81","(80,100]",3
"2UVbBKQOdFAekPTRsnkzc","Stir Fry","Migos",0.815,0.816,-5.474,0.269,0.00299,0,0.159,0.498,181.967,190288,"82","(80,100]",4
